ID , Name , CAS , Year , Status , Is_a_Metabolite , Has_a_Metabolite , Route , VD(hour) , Cl(liter/hour) , t1/2(hour) , PPB(percentage) , F(percentage) , Cmax , Cmax_unit , Tmax(hour) , Solubility
182, HYDROXYPROGESTERONE CAPROATE , 630-56-8 ,1974,  ,  ,  , INTRAMUSCULAR INJECTION SUBCUTANEOUS ,,,187.2,,,65, NANOMOLAR ,110.4, 
183, PROMAZINE , 58-40-2 ,1956, DISCONTINUED ,  ,  , ORAL INJECTION ,526.5,54.6,7.9,89,,,  ,, 
184, CLIDINIUM , 3485-62-9 ,1966,  ,  ,  , ORAL ,,,,,,,  ,, 
185, LIOTHYRONINE , 6893-02-3 ,1956,  ,  ,  , ORAL INJECTION ,,,60,,95,,  ,, 
186, HYDROXYZINE , 68-88-2 ,1956,  ,  ,  , ORAL INJECTION ,1040,39,16.5,,,186.9, NANOMOLAR ,2, SOLUBILITY SOLUBLE IN WATER
187, METHSUXIMIDE , 39122-23-1 ,1957,  ,  ,  1762  1763  , ORAL ,,,1.4,,,,  ,, 
188, LEVALLORPHAN , 152-02-3 ,0, DISCONTINUED ,  ,  , INJECTION ,,,,,,,  ,, 
189, PHENMETRAZINE , 134-49-6 ,0, DISCONTINUED ,  281  ,  , ORAL ,,,,,,,  ,, 
190, ANILERIDINE , 144-14-9 ,1957, DISCONTINUED ,  ,  , INJECTION ORAL ,,,,,,,  ,, 
191, HYDROCORTAMATE , 76-47-1 ,1956, DISCONTINUED ,  ,  108  , TOPICAL ,,,,,,,  ,, 
192, PROCHLORPERAZINE , 58-38-8 ,1956,  ,  ,  , ORAL INJECTION RECTAL ,1430,62.4,9,,,,  ,, 
193, ORPHENADRINE , 83-98-7 ,1957,  ,  ,  , ORAL INJECTION ,,,16.6,,,,  ,, SOLUBILITY SPARINGLY SOLUBLE IN WATER
194, METHSUXIMIDE , 39122-22-0 ,1957,  ,  ,  1762  1763  , ORAL ,,,1.4,,,,  ,, 
195, FLUOXYMESTERONE , 76-43-7 ,1956,  ,  ,  , ORAL ,,,9.2,98,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
196, ORPHENADRINE , 83-98-7 ,1957,  ,  ,  , ORAL INJECTION ,,,16.6,,,,  ,, SOLUBILITY SPARINGLY SOLUBLE IN WATER
197, MECLIZINE , 569-65-3 ,1957,  ,  ,  , ORAL ,,59,5.5,,,235.6, NANOMOLAR ,3, 
198, ISOFLUROPHATE , 55-91-4 ,1957, DISCONTINUED ,  ,  , OPHTHALMIC ,,,,,,,  ,, 
199, CHLORAMBUCIL , 305-03-3 ,1957,  ,  ,  , ORAL ,20.15,10.9,1.3,99,,1.6, MICROMOLAR ,0.83, 
200, TOLBUTAMIDE , 64-77-7 ,1957,  ,  ,  , ORAL INJECTION ,7.8,0.819,7,95,,217.7, MICROMOLAR ,3.8, 
201, MEPENZOLATE , 25990-43-6 ,1956, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
202, RESCINNAMINE , 24815-24-5 ,1956, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
203, MECLIZINE , 569-65-3 ,1957,  ,  ,  , ORAL ,,59,5.5,,,235.6, NANOMOLAR ,3, 
204, ISOPROPAMIDE , 7492-32-2 ,1957, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
205, PERPHENAZINE , 58-39-9 ,1957,  ,  ,  , ORAL INJECTION ,1170,105.3,10.5,93,,2.4, NANOMOLAR ,2, 
206, DESERPIDINE , 131-01-1 ,1957, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
207, DEXBROMPHENIRAMINE , 132-21-8 ,1957,  ,  ,  , ORAL INJECTION ,,,25,72,,,  ,5, 
208, ETHOTOIN , 86-35-1 ,1957,  ,  ,  , ORAL ,,,6,,,39, MICROMOLAR ,, 
209, NORETHINDRONE , 68-22-4 ,1962,  ,  210  354  ,  , ORAL ,260,26,8.51,61,64,87.8, NANOMOLAR ,1.83, 
210, NORETHINDRONE ACETATE , 51-98-9 ,1973,  ,  ,  209  , ORAL TRANSDERMAL INTRAMUSCULAR ,,,,,,,  ,, 
211, ANISINDIONE , 117-37-3 ,1957, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
212, BUCLIZINE , 82-95-1 ,1957, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
213, MESTRANOL , 72-33-3 ,1961,  ,  ,  , ORAL ,,,,,,,  ,, 
214, NORETHYNODREL , 68-23-5 ,1961, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
215, PROPOXYPHENE , 469-62-5 ,1957, DISCONTINUED ,  ,  1560  , ORAL ,780,58.5,9,80,,0.21, MICROMOLAR ,2.25, SOLUBILITY FREELY SOLUBLE IN WATER
216, METHOCARBAMOL , 532-03-6 ,1957,  ,  ,  848  877  , ORAL IM INJECTION ,150,52,2,50,,96, MICROMOLAR ,, SOLUBILITY SPARINGLY SOLUBLE IN WATER
217, ETHOXZOLAMIDE , 452-35-7 ,1966, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
218, NIACIN , 59-67-6 ,1957,  ,  ,  , ORAL ,,,0.56,20,,146.3, MICROMOLAR ,5, SOLUBILITY VERY SOLUBLE IN WATER
219, TRIPROLIDINE , 486-12-4 ,1977,  ,  ,  , ORAL ,,,2.1,,,55.4, NANOMOLAR ,2, 
220, TRIFLUPROMAZINE , 146-54-3 ,1957, DISCONTINUED ,  ,  , ORAL INJECTION ,,,,,,,  ,, 
221, CHLOROTHIAZIDE , 58-94-6 ,1958,  ,  ,  , ORAL INJECTION ,,,2,,,,  ,, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
222, METHYLPREDNISOLONE , 83-43-2 ,1957,  ,  223  1340  ,  , ORAL OPHTHALMIC ,78,23.8,2.3,77,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
223, METHYLPREDNISOLONE SUCCINATE , 2921-57-5 ,1959,  ,  ,  222  , INJECTION ,,,,,,,  ,, SOLUBILITY SOLUBLE IN WATER
224, TRIAMCINOLONE , 124-94-7 ,1957, DISCONTINUED ,  226  1341  ,  , ORAL ,,,2.7,,,,  ,1.9, 
225, TRIAMCINOLONE ACETONIDE , 76-25-5 ,1958,  ,  ,  , TOPICAL INJECTION DENTAL INHALATION NASAL INTRAVITREAL ,99.5,45.2,1.46,68,,2.58, NANOMOLAR ,0.5, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
226, TRIAMCINOLONE DIACETATE , 67-78-7 ,1959, DISCONTINUED ,  ,  224  , INJECTION ORAL ,,,,,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
227, BENZONATATE , 104-31-4 ,1958,  ,  ,  , ORAL ,,,,,,,  ,0.28, 
228, PHENPROCOUMON , 435-97-2 ,1957, DISCONTINUED ,  ,  , ORAL ,,,140,,,,  ,, 
229, DEXTROMETHORPHAN , 125-71-3 ,1957,  ,  ,  , ORAL ,,,13,65,,,  ,3.5, 
230, CHLORMEZANONE , 80-77-3 ,1960, DISCONTINUED ,  ,  , ORAL ,3.5,0.06,40.5,,,16.9, MICROMOLAR ,2.18, 
231, FURAZOLIDONE , 67-45-8 ,1958, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
232, CHLORZOXAZONE , 95-25-0 ,1958,  ,  ,  , ORAL ,,,,,,,  ,1.5, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
233, TRIMEPRAZINE , 84-96-8 ,0, DISCONTINUED ,  ,  , ORAL ,,,,90,80,,  ,, 
234, HALOTHANE , 151-67-7 ,1958, DISCONTINUED ,  ,  , INHALATION ,,,,,,,  ,, 
235, DICHLORPHENAMIDE , 120-97-8 ,1958,  ,  ,  , ORAL ,,,,,,,  ,, 
236, CHLORMEZANONE , 80-77-3 ,1960, DISCONTINUED ,  ,  , ORAL ,3.5,0.06,40.5,,,16.9, MICROMOLAR ,2.18, 
237, TRIFLUOPERAZINE , 117-89-5 ,1959,  ,  ,  , ORAL INJECTION ,,,,,,,  ,, 
238, SULFINPYRAZONE , 57-96-5 ,1959, DISCONTINUED ,  ,  , ORAL ,7.8,1.32,6.2,98,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
239, METHOHEXITAL , 151-83-7 ,1960,  ,  ,  , INJECTION ,71.5,46,1.6,73,,30, MICROMOLAR ,, SOLUBILITY FREELY SOLUBLE IN WATER
240, OXYPHENCYCLIMINE , 125-53-1 ,0, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
241, PHENTERMINE , 122-09-8 ,1959,  ,  ,  , ORAL ,348,8.79,20,17.5,,,  ,3.7, SOLUBILITY SOLUBLE IN WATER
242, CHLORPROPAMIDE , 94-20-2 ,1958,  ,  ,  , ORAL ,12.3,0.17,36,97,,,  ,3, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
243, DEXAMETHASONE , 50-02-2 ,1958,  ,  244  245  ,  , ORAL TOPICAL OPHTHALMIC OTIC INTRAVITREAL INTRAOCULAR ,61.1,12.8,3.7,68,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
244, DEXAMETHASONE PHOSPHATE , 312-93-6 ,1959,  ,  ,  243  , OPHTHALMIC TOPICAL OTIC INJECTION INHALATION NASAL ,,,,,,,  ,, 
245, DEXAMETHASONE ACETATE , 1177-87-3 ,1973, DISCONTINUED ,  ,  243  , INJECTION ,,,,,,,  ,, 
246, DIETHYLPROPION , 90-84-6 ,1959,  ,  ,  , ORAL ,,,,,,,  ,, 
247, THIOPENTAL , 76-75-5 ,0, DISCONTINUED ,  ,  , RECTAL ,78,32,5.5,80,,,  ,, 
248, THIOTEPA , 52-24-4 ,1959,  ,  ,  , INJECTION INTRAVENOUS ,104,25.14,2.4,10,,10.3, MICROMOLAR ,, 
249, PHENYLPROPANOLAMINE , 14838-15-4 ,1958, DISCONTINUED ,  1106  ,  , ORAL ,206.7,37,4.05,,,1.5, MICROMOLAR ,1.47, 
250, OXYMORPHONE , 76-41-5 ,1959,  ,  ,  , INJECTION RECTAL ORAL ,200.2,30.8,4.5,11,10,14.8, NANOMOLAR ,0.12, SOLUBILITY FREELY SOLUBLE IN WATER
251, METHAZOLAMIDE , 554-57-4 ,1959,  ,  ,  , ORAL ,20,0.99,14,55,,45.3, MICROMOLAR ,1.5, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
252, FLUOROMETHOLONE , 426-13-1 ,1972,  ,  ,  , TOPICAL OPHTHALMIC ,,,,,,,  ,, 
253, FLUPHENAZINE , 69-23-8 ,1959,  ,  1343  1344  ,  , ORAL INJECTION ,,,16.4,,,,  ,, 
254, CARISOPRODOL , 78-44-4 ,1959,  ,  ,  164  , ORAL ,,,2,,,6.92, MICROMOLAR ,1.7, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
255, CARISOPRODOL , 78-44-4 ,1959,  ,  ,  164  , ORAL ,,,2,,,6.92, MICROMOLAR ,1.7, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
256, HYDROCHLOROTHIAZIDE , 58-93-5 ,1959,  ,  ,  , ORAL ,370.5,23,4.5,67.9,,454.2, NANOMOLAR ,1.5, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
257, THIORIDAZINE , 50-52-2 ,1962,  ,  ,  , ORAL ,,,15,,,0.55, MICROMOLAR ,, 
258, IMIPRAMINE , 50-49-7 ,1959,  ,  ,  , ORAL INJECTION ,828,50.7,16,92.5,,,  ,, SOLUBILITY INSOLUBLE IN WATER
259, METHDILAZINE , 1982-37-2 ,1981, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
260, MEDROXYPROGESTERONE ACETATE , 71-58-9 ,1959,  ,  ,  , ORAL INJECTION INTRAMUSCULAR SUBCUTANEOUS ,78024,3846,12.1,90,,2.6, NANOMOLAR ,2.65, SOLUBILITY INSOLUBLE IN WATER
261, DEMECARIUM , 16505-84-3 ,1959, DISCONTINUED ,  ,  , OPHTHALMIC ,,,,,,,  ,, 
262, NANDROLONE , 434-22-0 ,0,  ,  1345  1346  ,  ,  ,,,228,,,18.8, NANOMOLAR ,72, 
263, PHENELZINE , 51-71-8 ,1961,  ,  ,  , ORAL ,,,11.6,,,145.5, NANOMOLAR ,0.71, 
264, DIPHENYLPYRALINE , 147-20-6 ,0, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
265, HYDROFLUMETHIAZIDE , 135-09-1 ,1959, DISCONTINUED ,  ,  , ORAL ,143,37.8,5.2,,,,  ,, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
266, METHDILAZINE , 1982-37-2 ,1981, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
267, ISOCARBOXAZID , 59-63-2 ,1959,  ,  ,  , ORAL ,,,,,,,  ,, 
268, ECHOTHIOPHATE , 6736-03-4 ,1960,  ,  ,  , OPHTHALMIC ,,,,,,,  ,, SOLUBILITY SOLUBLE IN WATER
269, PYRVINIUM , 7187-62-4 ,0, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
270, BIPERIDEN , 514-65-8 ,1959, DISCONTINUED ,  ,  , ORAL INJECTION ,780,46.8,24,90,,16, NANOMOLAR ,1.25, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
271, ISOSORBIDE DINITRATE , 87-33-2 ,1959,  ,  ,  , ORAL SUBLINGUAL ,195,180,1,28,25,0.32, MICROMOLAR ,, SOLUBILITY SPARINGLY SOLUBLE IN WATER
272, ISOSORBIDE MONONITRATE , 16051-77-7 ,1991,  ,  ,  , ORAL ,42.2,7,5,0,100,6.5, MICROMOLAR ,, SOLUBILITY FREELY SOLUBLE IN WATER
273, TROPICAMIDE , 1508-75-4 ,1960,  ,  ,  , OPHTHALMIC ,,,,,,,  ,, 
274, MEPIVACAINE , 96-88-8 ,1960,  ,  ,  , INJECTION ,61,26,2,70,,,  ,, SOLUBILITY SOLUBLE IN WATER
275, CHLOPHEDIANOL , 791-35-5 ,0, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
276, BENZTHIAZIDE , 91-33-8 ,1960, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
277, CYCLOPHOSPHAMIDE , 50-18-0 ,1959,  ,  ,  , ORAL INJECTION ,40,4.8,7.5,20,,,  ,1, SOLUBILITY SOLUBLE IN WATER
278, SPIRONOLACTONE , 52-01-7 ,1960,  ,  ,  , ORAL ,,,,90,,193.2, NANOMOLAR ,2.6, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
279, BENDROFLUMETHIAZIDE , 73-48-3 ,1959,  ,  ,  , ORAL ,,,,90,,,  ,, SOLUBILITY INSOLUBLE IN WATER
280, FLUOROURACIL , 51-21-8 ,1962,  ,  396  403  821  ,  1654  1655  , INJECTION TOPICAL ,14.9,101.4,0.12,85,,88.3, NANOMOLAR ,1.03, SOLUBILITY SPARINGLY SOLUBLE IN WATER
281, PHENDIMETRAZINE , 634-03-7 ,1975,  ,  ,  189  1764  1765  1766  , ORAL ,,,3.7,,,,  ,, SOLUBILITY FREELY SOLUBLE IN WATER
282, CHLORDIAZEPOXIDE , 58-25-3 ,1960,  ,  ,  , ORAL INJECTION ,16.2,1.4,8.3,96,,,  ,, SOLUBILITY INSOLUBLE IN WATER
283, TRICHLORMETHIAZIDE , 133-67-5 ,1960, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
284, CHLORTHALIDONE , 77-36-1 ,1960,  ,  ,  , ORAL ,253,5.8,36,76,64,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER (0.12 MILLIGRAM / MILLILITER)
285, OXYTOCIN , 50-56-6 ,1980,  ,  ,  , NASAL INJECTION ,33.2,85.2,0.3,,,,  ,, 
286, DEXTROTHYROXINE , 51-49-0 ,1967, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
287, ISOETHARINE , 788763-51-9 ,1978, DISCONTINUED ,  ,  , INHALATION ,,,,,,,  ,, 
288, TRANYLCYPROMINE , 155-09-9 ,1961,  ,  ,  , ORAL ,144.5,63.4,1.58,,,368.4, NANOMOLAR ,1, 
289, ETHOSUXIMIDE , 77-67-8 ,1960,  ,  ,  , ORAL ,45.5,,60,0,,496, MICROMOLAR ,5, 
290, PROPIOMAZINE , 362-29-8 ,1960, DISCONTINUED ,  ,  , INJECTION ,,,,,,,  ,, 
291, COLCHICINE , 64-86-8 ,1961,  ,  ,  , ORAL ,341.5,54.1,28.9,39,45,6.25, NANOMOLAR ,1.5, SOLUBILITY SOLUBLE IN WATER
292, PSEUDOEPHEDRINE , 90-82-4 ,1963,  ,  ,  , ORAL ,198.2,27.4,5,,,1.24, MICROMOLAR ,6, SOLUBILITY VERY SOLUBLE IN WATER
293, ATROPINE , 51-55-8 ,1960,  ,  ,  , ORAL INTRAMUSCULAR INJECTION INHALATION INTRAVENOUS SUBCUTANEOUS ENDOTRACHEAL OPHTHALMIC IV INTRAOSSEOUS ,214.5,29.6,3,18,,33.2, NANOMOLAR ,0.05, SOLUBILITY HIGHLY SOLUBLE IN WATER
294, BENZPHETAMINE , 156-08-1 ,1960,  ,  ,  22  1106  , ORAL ,,,,,,,  ,, SOLUBILITY READILY SOLUBLE IN WATER
295, THIOGUANINE , 154-42-7 ,1966,  ,  ,  1759  , ORAL ,,,5.9,,30,118, MICROMOLAR ,8, 
296, ATROPINE , 51-55-8 ,1960,  ,  ,  , ORAL INTRAMUSCULAR INJECTION INHALATION INTRAVENOUS SUBCUTANEOUS ENDOTRACHEAL OPHTHALMIC IV INTRAOSSEOUS ,214.5,29.6,3,18,,33.2, NANOMOLAR ,0.05, SOLUBILITY HIGHLY SOLUBLE IN WATER
297, DIPHENOXYLATE , 915-30-0 ,1960,  ,  ,  452  , ORAL ,,,,,90,,  ,, 
298, ACRISORCIN , 7527-91-5 ,0, DISCONTINUED ,  ,  , TOPICAL ,,,,,,,  ,, 
299, CHLORPROTHIXENE , 113-59-7 ,1962, DISCONTINUED ,  ,  , ORAL INJECTION ,1035,52,25.8,,17,1.36, MICROMOLAR ,4, 
300, METHYCLOTHIAZIDE , 135-07-9 ,1960,  ,  ,  , ORAL ,,,,,,,  ,, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
301, OXYPHENBUTAZONE , 129-20-4 ,1960, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
302, METRONIDAZOLE , 443-48-1 ,1963,  ,  ,  , ORAL INJECTION TOPICAL VAGINAL ,26,3.3,8,20,,233.9, MICROMOLAR ,1.5, SOLUBILITY IN WATER OF 10 MILLIGRAM / MILLILITER AT 20 DEGREE CELCIUS
303, CYPROHEPTADINE , 129-03-3 ,1961,  ,  ,  , ORAL ,,,12.5,,,,  ,7.5, SOLUBILITY SOLUBLE IN WATER
304, BETAMETHASONE , 378-44-9 ,1961, DISCONTINUED ,  305  306  1348  1349  1457  ,  , ORAL TOPICAL ,84.5,10.9,5.6,64,,,  ,, 
305, BETAMETHASONE ACETATE , 987-24-6 ,1965,  ,  ,  304  , INJECTION ,,,,,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
306, BETAMETHASONE VALERATE , 2152-44-5 ,1967,  ,  ,  304  , TOPICAL ,,,,,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
307, VINBLASTINE , 865-21-4 ,1965,  ,  ,  , INJECTION ,1820,12,67,86,,,  ,, SOLUBILITY FREELY SOLUBLE IN WATER
308, TRIOXSALEN , 3902-71-4 ,1964, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
309, AMITRIPTYLINE , 50-48-6 ,1961,  ,  ,  , ORAL INJECTION ,565.5,23.7,17,93,,,  ,, SOLUBILITY FREELY SOLUBLE IN WATER
310, SULFAMETHOXAZOLE , 723-46-6 ,1973,  ,  ,  , ORAL INJECTION ,19.5,1.4,10,70,,268.7, MICROMOLAR ,2.5, 
311, THIETHYLPERAZINE , 1420-55-9 ,1961, DISCONTINUED ,  ,  , ORAL INJECTION RECTAL ,,,,,,,  ,, 
312, FLUOCINOLONE ACETONIDE , 67-73-2 ,1963,  ,  ,  , TOPICAL OTIC INTRAVITREAL ,,,,,,,  ,, SOLUBILITY INSOLUBLE IN WATER
313, FLURANDRENOLIDE , 1524-88-5 ,1963,  ,  ,  , TOPICAL ,,,,,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
314, GLYCOPYRROLATE , 596-51-0 ,1961,  ,  ,  , ORAL INJECTION INHALATION INTRAMUSCULAR INTRAVENOUS TOPICAL ,27.3,35.1,0.83,,,10.9, NANOMOLAR ,0.45, SOLUBILITY SOLUBLE IN WATER
315, DIPYRIDAMOLE , 58-32-2 ,1961,  ,  ,  , ORAL INJECTION ,92,4.6,13.6,99,,3.92, MICROMOLAR ,2, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER (LOGP=3.71)
316, POLYTHIAZIDE , 346-18-9 ,1961, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, SOLUBILITY INSOLUBLE IN WATER
317, URACIL MUSTARD , 66-75-1 ,1962, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
318, METYRAPONE , 54-36-4 ,1961,  ,  ,  , ORAL ,,,1.9,,,32.3, MICROMOLAR ,1, SOLUBILITY SPARINGLY SOLUBLE IN WATER
319, ETHIONAMIDE , 536-33-4 ,1965,  ,  ,  , ORAL ,93.5,33.7,1.92,30,,13, MICROMOLAR ,1.02, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
320, METHOXYFLURANE , 76-38-0 ,0, DISCONTINUED ,  ,  , INHALATION ,,,,,,,  ,, 
321, CYCLOTHIAZIDE , 177468-84-7 ,1963, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
322, TRIAMTERENE , 396-01-0 ,1964,  ,  ,  , ORAL ,845,245.7,4.3,58,,183.3, NANOMOLAR ,1.1, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
323, METAXALONE , 1665-48-1 ,1962,  ,  ,  , ORAL ,800,66,9,,,8.2, MICROMOLAR ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
324, DIAZEPAM , 439-14-5 ,1963,  ,  ,  1709  491  1157  , ORAL INJECTION RECTAL ,58.5,1.5,46,98,90,,  ,1.25, SOLUBILITY INSOLUBLE IN WATER
325, QUINETHAZONE , 73-49-4 ,1963, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
326, PHENAZOPYRIDINE , 94-78-0 ,2001, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
327, ACETOHEXAMIDE , 968-81-0 ,1964, DISCONTINUED ,  ,  1757  1758  , ORAL ,,,,,,,  ,, 
328, METHYLDOPA , 555-30-6 ,1962,  ,  329  ,  , ORAL ,44.8,13.6,1.8,15,,,  ,, SOLUBILITY SOLUBLE IN WATER
329, METHYLDOPATE , 2508-79-4 ,1962, DISCONTINUED ,  ,  328  , INJECTION ,,,,,,,  ,, 
330, ANISOTROPINE , 25333-49-7 ,1962, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
331, PARGYLINE , 555-57-7 ,0, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
332, ACETYLCYSTEINE , 616-91-1 ,1963,  ,  ,  , INHALATION ORAL INTRAVENOUS ,30.5,7.15,5.6,83,,,  ,, 
333, DESIPRAMINE , 50-47-5 ,1964,  ,  ,  , ORAL ,975,42.9,22,84,,,  ,, 
334, OXANDROLONE , 53-39-4 ,1964,  ,  ,  , ORAL ,,,13.3,,,,  ,, 
335, IDOXURIDINE , 54-42-2 ,1963, DISCONTINUED ,  ,  , OPHTHALMIC ,,,,,,,  ,, 
336, ETHYLESTRENOL , 965-90-2 ,1964, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
337, VINCRISTINE , 57-22-7 ,1963,  ,  ,  , INJECTION INTRAVENOUS ,156,7.8,87,60,,,  ,, SOLUBILITY FREELY SOLUBLE IN WATER
338, PRALIDOXIME , 6735-59-7 ,1964,  ,  ,  , ORAL INJECTION INTRAMUSCULAR ,107.2,24.7,3,0,,29.1, MICROMOLAR ,0.26, SOLUBILITY SOLUBLE IN WATER
339, NALIDIXIC ACID , 389-08-2 ,1964, DISCONTINUED ,  ,  1756  , ORAL ,,,6,90,,129.3, MICROMOLAR ,1.5, 
340, NONOXYNOL-9 , 26027-38-3 ,1963,  ,  ,  , VAGINAL ,,,,,,,  ,, 
341, NORTRIPTYLINE , 72-69-5 ,1964,  ,  ,  , ORAL ,1430,39,30,88,,241, NANOMOLAR ,4, 
342, MELPHALAN , 148-82-3 ,1964,  ,  ,  , ORAL INJECTION INTRAVENOUS ,32.5,27.3,1.5,72,74,695, NANOMOLAR ,1, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
343, CHLORPHENTERMINE , 461-78-9 ,0, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
344, PRILOCAINE , 721-50-6 ,1965,  ,  ,  , INJECTION TOPICAL PERIODONTAL ,156,142,1.6,40,,0.48, MICROMOLAR ,, 
345, DOXAPRAM , 309-29-5 ,1965,  ,  ,  , INJECTION ,78,20,4.1,,,,  ,, SOLUBILITY SPARINGLY SOLUBLE IN WATER
346, MEFENAMIC ACID , 61-68-7 ,1967,  ,  ,  , ORAL ,68.9,21.2,3,90,,62.2, MICROMOLAR ,2, SOLUBILITY 0.004 PERCENT IN WATER
347, AMINOCAPROIC ACID , 60-32-2 ,1964,  ,  ,  , ORAL INJECTION ,23.1,10.1,2,8,100,1.25, MILLIMOLAR ,1.2, SOLUBILITY SOLUBLE IN WATER
348, TOLAZAMIDE , 1156-19-0 ,1966,  ,  ,  , ORAL ,,,7,,,,  ,3.5, SOLUBILITY 27.8 MILLIGRAM / 100 MILLILITER
349, OXAZEPAM , 604-75-1 ,1965,  ,  491  1709  ,  , ORAL ,38,4.3,8.2,96,,1.57, MICROMOLAR ,, 
350, HALOPERIDOL , 52-86-8 ,1967,  ,  1361  1362  ,  , ORAL INJECTION ,1105,30.4,35,92,60,15.3, NANOMOLAR ,4, 
351, SULFAMETER , 651-06-9 ,1966, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
352, PROTRIPTYLINE , 438-60-8 ,1967,  ,  ,  , ORAL ,,,,,,,  ,10, SOLUBILITY FREELY SOLUBLE IN WATER
353, AMANTADINE , 768-94-5 ,1968,  ,  ,  , ORAL ,357,18.2,17,67,,1.45, MICROMOLAR ,3.3, SOLUBILITY FREELY SOLUBLE IN WATER
354, ETHYNODIOL DIACETATE , 297-76-7 ,1966,  ,  ,  209  , ORAL ,,,,,,,  ,, 
355, DIPHENIDOL , 972-02-1 ,1967, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
356, DROPERIDOL , 548-73-2 ,1970,  ,  ,  , INJECTION ,103,44,2.1,,,,  ,, SOLUBILITY LOGP = 3.46
357, FENTANYL , 437-38-7 ,1968,  ,  ,  , INJECTION TRANSDERMAL ORAL TRANSMUCOSAL IONTOPHORESIS BUCCAL SUBLINGUAL NASAL ,260,32.5,7,82,50,7.4, NANOMOLAR ,0.33, SOLUBILITY SPARINGLY SOLUBLE IN WATER
358, INDOMETHACIN , 53-86-1 ,1965,  ,  ,  , ORAL RECTAL INJECTION ,6.24,5.07,4.5,99,100,5.6, MICROMOLAR ,2, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
359, ALLOPURINOL , 315-30-0 ,1966,  ,  ,  1755  , ORAL INJECTION ,37.7,42.9,1.5,3,90,22, MICROMOLAR ,1.5, SOLUBILITY 8 MILLIGRAM / LITER IN WATER
